 ,Area,Mean,Min,Max,X,Y
1,0,255,255,255,78.000,3070.000
2,0,255,255,255,371.500,3069.500
3,0,255,255,255,804.500,3070.500
4,0,255,255,255,2104.500,3241.500
5,0,255,255,255,2104.500,3621.500
6,0,255,255,255,2072.500,3947.500
7,0,255,255,255,1828.500,4025.500
8,0,255,255,255,2260.500,3759.500
9,0,255,255,255,2426.500,4027.500
10,0,255,255,255,2219.500,3186.500
11,0,255,255,255,2195.500,2844.500
12,0,255,255,255,2588.500,2676.500
13,0,255,255,255,2207.500,2670.500
14,0,255,255,255,2795.500,2661.500
15,0,255,255,255,3053.500,2661.500
16,0,255,255,255,3305.500,2658.500
17,0,255,255,255,3569.500,2661.500
18,0,255,255,255,4055.500,2670.500
19,0,255,255,255,4388.500,3303.500
20,0,255,255,255,4070.500,3294.500
21,0,255,255,255,4049.500,3792.500
22,0,255,255,255,3803.500,3804.500
23,0,255,255,255,3776.500,3918.500
24,0,255,255,255,4235.500,3789.500
25,0,255,255,255,4388.500,3564.500
26,0,255,255,255,4391.500,4014.500
27,0,255,255,255,4133.500,4020.500
28,0,255,255,255,3431.500,3786.500
29,0,255,255,255,3173.500,3789.500
30,0,255,255,255,2933.500,3792.500
31,0,255,255,255,2675.500,3783.500
32,0,255,255,255,4385.500,2967.500
33,0,255,255,255,4376.500,2622.500
34,0,255,255,255,4355.500,2325.500
35,0,255,255,255,4502.500,1770.500
36,0,255,255,255,4706.500,1428.500
37,0,255,255,255,4241.500,1515.500
38,0,255,255,255,4190.500,2100.500
39,0,255,255,255,4751.500,2166.500
40,0,254,254,254,3974.500,1116.500
41,0,254,254,254,4580.500,1023.500
42,0,255,255,255,3788.500,2664.500
