 ,Area,Mean,Min,Max,X,Y
1,0,255,255,255,429.000,2740.000
2,0,255,255,255,430.500,2597.500
3,0,255,255,255,716.500,2603.500
4,0,255,255,255,1067.500,2622.500
5,0,255,255,255,1071.500,2908.500
6,0,255,255,255,1839.500,2902.500
7,0,255,255,255,2146.500,2832.500
8,0,255,255,255,2386.500,2793.500
9,0,255,255,255,2513.500,3157.500
10,0,255,255,255,2467.500,3682.500
11,0,255,255,255,2385.167,2222.500
12,0,255,255,255,2583.833,2325.167
13,0,255,255,255,2790.500,2178.500
14,0,255,255,255,2652.167,2923.167
15,0,255,255,255,2348.167,3387.167
16,0,255,255,255,2797.500,3351.167
17,0,255,255,255,3162.833,3355.167
18,0,255,255,255,3464.167,3345.833
19,0,255,255,255,3730.833,3357.833
20,0,255,255,255,4037.500,3360.833
21,0,255,255,255,4030.833,3586.167
22,0,255,255,255,4315.167,3371.167
23,0,255,255,255,4307.167,3593.833
24,0,255,255,255,4663.167,3589.833
25,0,255,255,255,4641.833,3359.167
26,0,255,255,255,4877.833,3147.167
27,0,255,255,255,4657.833,3123.167
28,0,255,255,255,4635.833,2855.167
29,0,255,255,255,4309.167,2871.167
30,0,255,255,255,4007.833,2864.500
31,0,255,255,255,4639.833,2192.500
32,0,255,255,255,4114.500,2188.500
33,0,255,255,255,4633.833,1837.500
34,0,255,255,255,4513.833,2121.500
35,0,255,255,255,4521.833,1834.833
36,0,255,255,255,4644.500,2528.833
37,0,255,255,255,2377.500,2958.833
38,0,255,255,255,2364.500,2506.167
39,0,255,255,255,2581.833,3315.833
40,0,255,255,255,2399.167,3086.500
41,0,255,255,255,2401.833,3281.167
42,0,7,7,7,2548.500,3033.167
43,0,255,255,255,2788.500,2970.833
44,0,255,255,255,2880.500,3232.167
45,0,255,255,255,3397.167,2817.500
46,0,255,255,255,3142.500,2997.500
47,0,255,255,255,191.500,2608.500
48,0,255,255,255,2247.167,3681.833
49,0,255,255,255,2635.167,3576.500
