 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,28.000,2767.000
2,0,0,0,0,846.500,2768.500
3,0,189,189,189,840.500,2763.500
4,0,0,0,0,837.500,3546.500
5,0,0,0,0,842.500,3539.500
6,0,0,0,0,27.500,3538.500
7,0,0,0,0,34.500,3545.500
8,0,189,189,189,34.500,2763.500
9,0,0,0,0,141.500,2765.500
10,0,86,86,86,142.500,3039.500
11,0,0,0,0,136.500,3033.500
12,0,0,0,0,733.500,3031.500
13,0,0,0,0,728.500,3038.500
14,0,0,0,0,726.500,2765.500
15,0,0,0,0,727.500,3025.500
16,0,168,168,168,794.500,3023.500
17,0,0,0,0,791.500,3028.500
18,0,0,0,0,788.500,2953.500
19,0,168,168,168,794.500,2959.500
20,0,0,0,0,729.500,2958.500
21,0,0,0,0,788.500,2911.500
22,0,255,255,255,785.500,2758.500
23,0,0,0,0,82.500,2911.500
24,0,255,255,255,84.500,2762.500
25,0,0,0,0,79.500,2908.333
26,0,198,198,198,145.667,2908.333
27,0,0,0,0,787.000,2909.250
28,0,59,59,59,845.500,2908.000
29,0,38,38,38,26.167,3096.833
30,0,0,0,0,847.500,3096.833
31,0,0,0,0,26.833,2961.500
32,0,0,0,0,87.500,2961.833
33,0,0,0,0,84.833,2959.500
34,0,0,0,0,83.167,3037.167
35,0,0,0,0,86.500,3034.500
36,0,38,38,38,25.833,3035.833
37,0,232,232,232,2147.500,2622.500
38,0,255,255,255,2145.500,3195.500
39,0,0,0,0,2151.167,3189.500
40,0,0,0,0,1744.500,3190.500
41,0,0,0,0,1756.500,3184.500
42,0,45,45,45,1757.500,4299.500
43,0,0,0,0,1751.500,4055.500
44,0,234,234,234,2516.500,4054.500
45,0,255,255,255,2068.500,3179.500
46,0,254,254,254,2068.500,3815.500
47,0,0,0,0,2074.500,3809.500
48,0,0,0,0,1752.500,3810.500
49,0,116,116,116,2028.500,3803.500
50,0,1,1,1,2030.500,3995.500
51,0,0,0,0,2033.500,3988.500
52,0,0,0,0,1751.500,3989.500
53,0,0,0,0,2132.500,3806.500
54,0,0,0,0,2133.500,3938.500
55,0,118,118,118,2128.833,3933.500
56,0,0,0,0,2264.167,3933.500
57,0,0,0,0,2260.833,3938.167
58,0,0,0,0,2259.500,3805.167
59,0,0,0,0,2262.833,3809.167
60,0,0,0,0,2130.833,3810.833
61,0,0,0,0,2127.167,3329.500
62,0,0,0,0,2235.833,3330.167
63,0,0,0,0,2231.833,3326.167
64,0,0,0,0,2229.833,3695.500
65,0,0,0,0,2233.167,3691.500
66,0,0,0,0,2126.500,3691.500
67,0,191,191,191,2131.167,3698.167
68,0,60,60,60,2131.167,3326.167
69,0,0,0,0,2508.500,4296.500
70,0,0,0,0,2509.500,3806.500
71,0,0,0,0,2514.500,3811.000
72,0,0,0,0,2371.000,3812.000
73,0,0,0,0,2374.500,3808.000
74,0,0,0,0,2376.000,3939.000
75,0,0,0,0,2373.000,3936.000
76,0,0,0,0,2513.500,3934.500
77,0,0,0,0,2513.000,3693.500
78,0,131,131,131,2286.500,3694.500
79,0,199,199,199,2290.500,3698.500
80,0,0,0,0,2292.000,2939.500
81,0,110,110,110,2514.500,2946.500
82,0,60,60,60,2243.000,2944.500
83,0,255,255,255,2247.500,2948.500
84,0,0,0,0,2248.500,2682.500
85,0,0,0,0,2244.000,2686.000
86,0,0,0,0,2447.000,2686.000
87,0,0,0,0,2444.000,2684.500
88,0,0,0,0,2444.000,2716.000
89,0,0,0,0,2442.000,2712.500
90,0,0,0,0,2514.000,2711.500
91,0,0,0,0,2509.500,2687.000
92,0,117,117,117,2514.500,2961.500
93,0,0,0,0,2563.000,2746.500
94,0,114,114,114,2569.500,2896.000
95,0,0,0,0,2507.167,3755.500
96,0,0,0,0,2506.500,2935.833
97,0,0,0,0,2504.167,3750.833
98,0,0,0,0,4028.833,3748.167
99,0,0,0,0,4023.167,3755.167
100,0,0,0,0,4020.167,3185.167
101,0,0,0,0,2565.167,3862.833
102,0,150,150,150,2568.500,4020.167
103,0,0,0,0,2510.500,3868.833
104,0,116,116,116,2569.167,3869.500
105,0,0,0,0,2507.833,4013.167
106,0,0,0,0,2630.500,4011.833
107,0,255,255,255,2614.167,4021.500
108,0,0,0,0,2616.833,3805.500
109,0,21,21,21,2610.167,3810.500
110,0,0,0,0,3737.167,3813.833
111,0,0,0,0,3733.167,3809.167
112,0,0,0,0,3734.500,4062.500
113,0,148,148,148,3728.833,4049.167
114,0,0,0,0,4468.833,4053.167
115,0,0,0,0,4464.833,4259.833
116,0,0,0,0,4462.167,3993.167
117,0,0,0,0,4700.833,3998.500
118,0,87,87,87,4412.833,3999.833
119,0,255,255,255,4418.167,4006.500
120,0,0,0,0,4419.833,2288.500
121,0,0,0,0,4024.833,3843.167
122,0,0,0,0,3825.500,3843.167
123,0,0,0,0,3830.833,3839.833
124,0,0,0,0,3830.167,3997.833
125,0,0,0,0,3825.500,3993.833
126,0,4,4,4,4024.167,3995.167
