 ,Area,Mean,Min,Max,X,Y
1,0,255,255,255,147.000,2289.000
2,0,255,255,255,145.500,3112.500
3,0,255,255,255,131.500,3096.500
4,0,255,255,255,1006.500,3098.500
5,0,255,255,255,986.500,3115.500
6,0,0,0,0,984.500,2630.500
7,0,0,0,0,986.500,2575.500
8,0,0,0,0,985.500,2293.500
9,0,255,255,255,998.500,2301.500
10,0,255,255,255,137.500,2301.500
11,0,255,255,255,140.167,2567.167
12,0,0,0,0,204.500,2567.167
13,0,0,0,0,204.667,2568.500
14,0,0,0,0,205.250,2348.500
15,0,255,255,255,264.750,2291.250
16,0,0,0,0,264.250,2566.500
17,0,0,0,0,262.250,2566.500
18,0,0,0,0,737.500,2566.500
19,0,0,0,0,737.750,2568.000
20,0,255,255,255,738.000,2289.750
21,0,0,0,0,501.500,2567.250
22,0,255,255,255,501.250,2291.750
23,0,255,255,255,139.500,2635.833
24,0,0,0,0,396.500,2637.500
25,0,0,0,0,396.500,2635.167
26,0,0,0,0,396.833,2772.167
27,0,255,255,255,140.833,2770.500
28,0,255,255,255,992.500,2771.500
29,0,0,0,0,466.250,2773.000
30,0,0,0,0,467.000,2639.000
31,0,0,0,0,465.250,2639.250
32,0,0,0,0,678.750,2639.000
33,0,0,0,0,676.500,2636.500
34,0,0,0,0,676.500,2712.500
35,0,0,0,0,678.500,2712.500
36,0,0,0,0,566.500,2713.000
37,0,0,0,0,566.750,2710.750
38,0,0,0,0,566.500,2771.250
39,0,0,0,0,740.833,2774.833
40,0,0,0,0,741.833,2634.167
41,0,0,0,0,740.500,2634.167
42,0,0,0,0,1033.500,2635.167
43,0,0,0,0,734.500,2469.833
44,0,0,0,0,876.167,2469.833
45,0,255,255,255,803.500,2290.500
46,0,0,0,0,803.500,2469.500
47,0,255,255,255,873.500,2290.500
48,0,0,0,0,873.167,2569.167
49,0,0,0,0,875.167,2569.167
50,0,0,0,0,807.167,2569.167
51,0,0,0,0,807.167,2570.833
52,0,0,0,0,807.833,2505.500
53,0,0,0,0,805.167,2505.500
54,0,0,0,0,875.500,2507.167
55,0,0,0,0,871.167,2552.833
56,0,0,0,0,929.500,2553.500
57,0,0,0,0,929.833,2554.833
58,0,0,0,0,930.167,2351.833
59,0,0,0,0,983.500,2573.500
60,0,0,0,0,1095.000,2575.000
61,0,0,0,0,1094.000,2571.500
62,0,0,0,0,1094.500,2876.000
63,0,0,0,0,1091.500,2874.000
64,0,0,0,0,1811.000,2876.500
65,0,0,0,0,1808.500,2877.500
66,0,0,0,0,1807.000,2806.500
67,0,255,255,255,1803.000,2807.000
68,0,0,0,0,2103.500,2807.500
69,0,0,0,0,2100.500,2808.500
70,0,0,0,0,2101.500,2651.500
71,0,0,0,0,2100.000,2654.000
72,0,0,0,0,2333.000,2653.500
73,0,0,0,0,1032.000,2632.000
74,0,0,0,0,1030.500,2945.500
75,0,0,0,0,1028.500,2942.500
76,0,0,0,0,1873.500,2942.000
77,0,0,0,0,1869.000,2945.000
78,0,0,0,0,1868.500,2870.500
79,0,0,0,0,1868.500,2871.500
80,0,0,0,0,2331.500,2872.500
81,0,0,0,0,2186.500,2872.500
82,0,0,0,0,2186.500,2723.000
83,0,0,0,0,2185.000,2724.000
84,0,0,0,0,2330.500,2724.000
85,0,0,0,0,2328.500,2722.500
86,0,0,0,0,2331.167,3141.500
87,0,0,0,0,2329.833,3187.500
88,0,0,0,0,2330.500,3296.167
89,0,0,0,0,2334.250,3294.000
90,0,0,0,0,2188.500,3293.250
91,0,0,0,0,2190.000,3294.750
92,0,0,0,0,2191.250,3187.000
93,0,0,0,0,2190.000,3189.000
94,0,0,0,0,2331.250,3189.000
95,0,0,0,0,2331.500,3139.250
96,0,0,0,0,2185.250,3139.250
97,0,0,0,0,2185.750,3140.000
98,0,0,0,0,2186.750,3114.250
99,0,0,0,0,2187.750,3114.500
100,0,0,0,0,2145.000,3115.250
101,0,0,0,0,2146.000,3113.500
